row_idx,top_features,top_abs_z
40854,"['distinct_hcpcs', 'mean_charge', 'distinct_pos', 'allow_ratio', 'mean_allowed']","[3.030116837053399, 2.305942583321669, 1.9950045249592383, 1.3274916283134193, 1.2398053295296367]"
40868,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.918185459770236, 4.74312726578469, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
40884,"['distinct_hcpcs', 'allow_ratio', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.952311097830306, 1.0619484839163447, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
40944,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 'allow_ratio']","[6.780618772467199, 6.780343546859804, 6.223317035259137, 1.3171064083221087, 1.123078438267833]"
40950,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 'mean_charge', 't_hipaa_share']","[6.657668333190249, 1.9950045249592383, 1.5145286791363706, 1.0412202881066221, 0.9999995745697359]"
40955,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[3.5339434337390725, 3.3855831410034343, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
40968,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[9.06253495707582, 9.05999478602836, 8.37497257358542, 1.1388956428004327, 0.9999995745697359]"
40983,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 'mean_charge', 't_hipaa_share']","[3.2316474757276685, 1.9950045249592383, 1.4616533100152993, 1.232731035921544, 0.9999995745697359]"
41009,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[3.5339434337390725, 1.9950045249592383, 1.7120658626372813, 0.9999995745697359, 0.9999995745697359]"
41102,"['total_beneficiaries', 'total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share']","[20.92540861702066, 19.717695749198104, 10.285219829327099, 0.9999995745697359, 0.9999995745697359]"
41122,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.1308821563905336, 1.9950045249592383, 1.2922260022743366, 0.9999995745697359, 0.9999995745697359]"
41126,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.053076417167441, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
41296,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[7.325203996413, 7.30703864946266, 3.830413665212013, 1.216341088984974, 0.9999995745697359]"
41306,"['mean_charge', 'distinct_pos', 'allow_ratio', 'distinct_hcpcs', 't_hipaa_share']","[2.6750781852253045, 1.9950045249592383, 1.516163508479098, 1.216341088984974, 0.9999995745697359]"
41333,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.9370047110876114, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
41391,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[7.161494929875923, 1.9950045249592383, 1.9009490576391148, 0.9999995745697359, 0.9999995745697359]"
41423,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[2.3247596016934557, 1.2652971792361105, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
41430,"['mean_payment', 'mean_allowed', 'distinct_pos', 'distinct_hcpcs', 'total_services']","[2.652949431085649, 2.6402811807359354, 1.9950045249592383, 1.921698324344917, 1.0006649175176152]"
41543,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[8.257661642990389, 4.229179162238329, 4.206959092804374, 1.4721255871645016, 0.9999995745697359]"
41584,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[5.952311097830306, 1.9950045249592383, 1.4641939341898602, 0.9999995745697359, 0.9999995745697359]"
41587,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[2.2239942823563212, 1.9950045249592383, 1.8024462021015624, 1.767491856396709, 0.9999995745697359]"
41680,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[5.938795169601729, 5.9120830829667055, 4.881169744303794, 1.041468502312588, 0.9999995745697359]"
41681,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[8.471444081258674, 1.2404796365954438, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
41721,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[2.1232289630191863, 1.9950045249592383, 1.8871259600220622, 1.87885800145077, 0.9999995745697359]"
41746,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[2.62705555970486, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
41772,"['mean_payment', 'mean_allowed', 'distinct_hcpcs', 'mean_charge', 'distinct_pos']","[4.9518753069811865, 4.922644122010236, 3.433178114401938, 2.952691251479612, 1.9950045249592383]"
41788,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.340065988436151, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
41850,"['mean_allowed', 'mean_payment', 'mean_charge', 'total_services', 't_hipaa_share']","[3.796370028291733, 3.785162329062014, 1.7982587347570556, 1.2809073606412207, 0.9999995745697359]"
41881,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[5.347719181807498, 1.9950045249592383, 1.2257517151184922, 0.9999995745697359, 0.9999995745697359]"
41896,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[10.385985148664235, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
41925,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[7.201202399507366, 7.173759054134616, 5.166907851066366, 1.9950045249592383, 0.9999995745697359]"
42050,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[5.298261367826319, 5.107403369108146, 3.7276201553797, 0.9999995745697359, 0.9999995745697359]"
42098,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.177907377249945, 7.151018878185939, 5.373679587466265, 0.9999995745697359, 0.9999995745697359]"
42179,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[10.178496491058898, 10.16971236413964, 6.458180217539376, 0.9999995745697359, 0.9999995745697359]"
42190,"['mean_charge', 'mean_allowed', 'mean_payment', 'total_services', 'allow_ratio']","[7.011240443222335, 6.410310146113622, 6.345111562322452, 2.4394738581808317, 1.228676900260278]"
42192,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[6.441108603747238, 6.111866520160675, 6.103955687731959, 1.205412903546965, 0.9999995745697359]"
42244,"['mean_allowed', 'mean_payment', 'distinct_pos', 'mean_charge', 'distinct_hcpcs']","[2.0903792561323784, 2.0866643978606785, 1.9950045249592383, 1.719026093617691, 1.0148104503107045]"
42320,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[3.836239391750477, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
42359,"['mean_payment', 'mean_allowed', 'distinct_pos', 'mean_charge', 't_hipaa_share']","[7.431309140972308, 7.4040970758950735, 1.9950045249592383, 1.55437308175216, 0.9999995745697359]"
42442,"['total_services', 'distinct_hcpcs', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.1603467438819037, 2.3247596016934557, 1.5035944034075142, 0.9999995745697359, 0.9999995745697359]"
42488,"['mean_payment', 'mean_allowed', 'total_services', 't_hipaa_share', 't_billing_share']","[1.90007011652214, 1.877736073837579, 1.7129654324131691, 0.9999995745697359, 0.9999995745697359]"
42533,"['distinct_hcpcs', 'total_services', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[7.060729610538788, 2.5900988797728526, 1.984917625383499, 1.440281144295995, 0.9999995745697359]"
42650,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[4.239300669099015, 2.130365808425065, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
42659,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[10.701854109447789, 10.649707357615526, 10.617924814732337, 1.192974831046663, 0.9999995745697359]"
42702,"['mean_allowed', 'mean_payment', 'total_services', 'mean_charge', 't_hipaa_share']","[1.9314884711075104, 1.8844720065568694, 1.2540260991029293, 1.044590590392602, 0.9999995745697359]"
42841,"['mean_charge', 'mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share']","[8.592519848676355, 5.063022942047324, 4.9916852142743995, 1.427864150557968, 0.9999995745697359]"
42984,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.138535349761881, 1.7656167222371848, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
42997,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[14.943986778275935, 14.924071362992018, 10.617924814732337, 0.9999995745697359, 0.9999995745697359]"
43059,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[12.273202422098276, 12.219095976648063, 9.44735167852301, 1.0181325118706956, 0.9999995745697359]"
43147,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[4.138535349761881, 1.9950045249592383, 1.323504635322962, 0.9999995745697359, 0.9999995745697359]"
43187,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.843892585121824, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
43393,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[5.650015139818902, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
43484,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[5.146188543133229, 1.9950045249592383, 1.0230218722418831, 0.9999995745697359, 0.9999995745697359]"
43490,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[5.5492498204817675, 1.9950045249592383, 1.078787863704794, 0.9999995745697359, 0.9999995745697359]"
43528,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[2.2239942823563212, 1.9950045249592383, 1.5186319028868396, 0.9999995745697359, 0.9999995745697359]"
43624,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.33550382298955, 7.324136755100068, 4.427298108317446, 0.9999995745697359, 0.9999995745697359]"
43683,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[2.929351517716264, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
43942,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[11.271533164961362, 11.242284106362922, 10.617924814732337, 1.1598362962333977, 0.9999995745697359]"
44110,"['mean_payment', 'mean_allowed', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.049315411248211, 5.026167894933839, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
44145,"['mean_charge', 'distinct_pos', 'mean_payment', 'mean_allowed', 'allow_ratio']","[2.2711513901091482, 1.9950045249592383, 1.7996026732268011, 1.7887858037524904, 1.2051872400932098]"
44293,"['mean_charge', 'mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share']","[10.617924814732337, 6.604284742651959, 6.578370070062774, 1.4192060803214934, 0.9999995745697359]"
44593,"['mean_charge', 'mean_payment', 'mean_allowed', 'distinct_hcpcs', 'allow_ratio']","[8.024684036013864, 7.964362888581492, 7.946655524909848, 1.216341088984974, 1.1906560554163301]"
44686,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 'mean_payment', 'mean_allowed']","[3.735474072413342, 1.9950045249592383, 1.9572578540553698, 1.4877062850733098, 1.4742213317690291]"
44877,"['distinct_hcpcs', 'total_services', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[2.929351517716264, 2.0527911442220423, 1.1936437857858566, 0.9999995745697359, 0.9999995745697359]"
44916,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.5186370469963781, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
45050,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[10.089323002064745, 10.056883127385131, 9.144384616109454, 1.1311940804409817, 0.9999995745697359]"
45052,"['total_services', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.7554833332911557, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
45247,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.069502053858959, 6.047512276131326, 4.592195500717499, 0.9999995745697359, 0.9999995745697359]"
45423,"['mean_payment', 'mean_allowed', 'total_services', 'mean_charge', 't_hipaa_share']","[4.917425915229584, 4.89225137102221, 3.400531874043921, 3.020684706139765, 0.9999995745697359]"
45485,"['mean_charge', 'mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share']","[10.617924814732337, 9.245806882942306, 9.235447643931188, 1.2714848381514978, 0.9999995745697359]"
45597,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.4665286093727765, 6.437225604621721, 3.6819025653669333, 0.9999995745697359, 0.9999995745697359]"
45652,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[10.368853774980085, 10.368120995861823, 7.2072735974598565, 0.9999995745697359, 0.9999995745697359]"
45653,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[14.427467683322574, 14.402136863049327, 8.313388785574743, 0.9999995745697359, 0.9999995745697359]"
45654,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.0216217844479285, 6.004025165844559, 2.108589661908875, 0.9999995745697359, 0.9999995745697359]"
45832,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.832016847596788, 7.804308164529397, 5.129914693380781, 0.9999995745697359, 0.9999995745697359]"
45837,"['distinct_hcpcs', 'mean_allowed', 'allow_ratio', 'mean_payment', 't_hipaa_share']","[2.022463643682052, 1.2268519824128572, 1.2034841828313274, 1.1661585638653422, 0.9999995745697359]"
45937,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[10.672811554906682, 10.661062662972071, 6.834461723969114, 2.022463643682052, 0.9999995745697359]"
46053,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.303658587653289, 6.294500819066075, 4.865627295419239, 0.9999995745697359, 0.9999995745697359]"
46177,"['mean_payment', 'mean_allowed', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.047794952960563, 4.047578358239981, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
46352,"['mean_payment', 'mean_allowed', 'distinct_hcpcs', 'allow_ratio', 'total_beneficiaries']","[4.460379897009859, 3.3560993754690287, 2.4255249210305907, 1.6997708979921098, 1.4269148356121235]"
46497,"['total_services', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.8357831647564258, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
46721,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[15.155080008031204, 15.13919681666143, 10.617924814732337, 0.9999995745697359, 0.9999995745697359]"
47002,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[4.458471424147653, 4.41034481215602, 2.610192173687158, 0.9999995745697359, 0.9999995745697359]"
47008,"['distinct_hcpcs', 'total_services', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[4.037770030424746, 3.3993412669875993, 1.4250643436173145, 1.4118219310963718, 0.9999995745697359]"
47036,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.952311097830306, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47047,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[7.665321526561597, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47048,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[5.347719181807498, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47058,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[1.3399085547656202, 1.216341088984974, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47068,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[7.161494929875923, 5.577993432449285, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
47081,"['distinct_hcpcs', 'mean_allowed', 'mean_payment', 't_hipaa_share', 't_billing_share']","[4.642361946447554, 2.4444188598237413, 2.3748254641182065, 0.9999995745697359, 0.9999995745697359]"
47093,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[9.394237580041064, 9.365187347056725, 4.549762964296174, 1.9950045249592383, 0.9999995745697359]"
47106,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[9.728673472524545, 9.705407671621419, 2.393630358436061, 1.8209330050077823, 0.9999995745697359]"
47118,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.030116837053399, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47149,"['total_services', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[3.166855395789797, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47172,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[3.735474072413342, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47179,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[3.433178114401938, 2.7176790403413973, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
47216,"['mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[7.965072317372992, 7.942124941846254, 1.6154907782722814, 0.9999995745697359, 0.9999995745697359]"
47266,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[7.214257938919853, 2.8285861983791296, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47280,"['allow_ratio', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[2.6482248088337683, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47296,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.506434420357953, 6.466451455414518, 4.711933481714123, 0.9999995745697359, 0.9999995745697359]"
47314,"['mean_payment', 'mean_allowed', 'distinct_hcpcs', 'mean_charge', 't_hipaa_share']","[2.497569802143946, 2.4700441021635138, 2.1232289630191863, 1.605786902900568, 0.9999995745697359]"
47324,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 'mean_charge', 't_hipaa_share']","[3.030116837053399, 1.9950045249592383, 1.3550094996341349, 1.0324252834298098, 0.9999995745697359]"
47345,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[5.6020833940208234, 5.600689176523096, 3.5860408880033066, 1.9950045249592383, 0.9999995745697359]"
47351,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[5.314941611679289, 5.28741548896824, 4.105070702484981, 1.9950045249592383, 0.9999995745697359]"
47370,"['distinct_hcpcs', 'mean_allowed', 'mean_payment', 'distinct_pos', 'mean_charge']","[3.1308821563905336, 2.7117877572275, 2.642013550775096, 1.9950045249592383, 1.0957711485337474]"
47382,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.5339434337390725, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47387,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[3.9845340122013413, 3.916024772602289, 1.2439742420591364, 0.9999995745697359, 0.9999995745697359]"
47401,"['mean_allowed', 'mean_payment', 'mean_charge', 'total_services', 't_hipaa_share']","[4.6959436800863505, 4.682911156466512, 2.273960136845027, 1.2510098945602468, 0.9999995745697359]"
47427,"['mean_payment', 'mean_allowed', 'distinct_hcpcs', 'distinct_pos', 'mean_charge']","[3.794589779857192, 3.7916365586219634, 3.332412795064803, 1.9950045249592383, 1.742629997403978]"
47445,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[4.944657904458959, 3.4921821594461275, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
47473,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.26399981979585, 7.255601203682946, 2.9180190390863796, 0.9999995745697359, 0.9999995745697359]"
47477,"['distinct_hcpcs', 'total_beneficiaries', 'total_services', 'allow_ratio', 'mean_allowed']","[21.570935595086187, 15.854318817880195, 11.9591445535779, 1.406891220386777, 1.0089564176142696]"
47510,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[7.422663944387091, 6.761087078340952, 6.730312809857483, 1.235742656561299, 0.9999995745697359]"
47528,"['distinct_hcpcs', 'mean_allowed', 'mean_payment', 'distinct_pos', 't_hipaa_share']","[2.526290240367725, 2.3501882849933335, 2.313238101590643, 1.9950045249592383, 0.9999995745697359]"
47558,"['distinct_hcpcs', 'allow_ratio', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.2316474757276685, 1.0042783234174186, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47570,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.45613769451598, 4.089443574766395, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47612,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.869344112526451, 1.216341088984974, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47630,"['distinct_hcpcs', 'distinct_pos', 'mean_payment', 'mean_allowed', 'mean_charge']","[2.62705555970486, 1.9950045249592383, 1.823476965749038, 1.8171513906419219, 1.2480671463722193]"
47660,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.959964291201653, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
47748,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[7.435077150245073, 7.42165648680829, 4.653005445478799, 1.3171064083221087, 0.9999995745697359]"
47927,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[5.045423223796093, 1.9950045249592383, 1.511803439995134, 0.9999995745697359, 0.9999995745697359]"
48040,"['mean_payment', 'mean_allowed', 'distinct_pos', 'mean_charge', 't_hipaa_share']","[5.522618057551443, 5.484525203478622, 1.9950045249592383, 1.284639757380949, 0.9999995745697359]"
48042,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 'allow_ratio']","[9.957995048118606, 9.953009587067225, 8.435516188676068, 2.2239942823563212, 1.0814969695457872]"
48151,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[5.101944096545297, 4.697254062831726, 4.203511397762229, 1.0884272427980861, 0.9999995745697359]"
48168,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[10.746384244973736, 10.730438341380946, 7.355943337916242, 0.9999995745697359, 0.9999995745697359]"
48170,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.680377448148753, 2.2239942823563212, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
48259,"['total_services', 'mean_payment', 'mean_allowed', 'total_beneficiaries', 'mean_charge']","[7.224259038192957, 5.020059523246429, 4.987254309428406, 1.8695522558804387, 1.6697910579253776]"
48282,"['mean_charge', 'mean_payment', 'mean_allowed', 'total_services', 'allow_ratio']","[7.246000762484663, 5.22878471034912, 5.223706065434436, 2.4310073191136534, 1.3417405303835646]"
48284,"['distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share', 't_billing_share']","[1.9950045249592383, 1.7551291468273447, 1.6687350014464761, 0.9999995745697359, 0.9999995745697359]"
48292,"['total_services', 'distinct_pos', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share']","[2.7931635277122098, 1.9950045249592383, 1.6194023663335129, 0.9999995745697359, 0.9999995745697359]"
48330,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[11.012907891630595, 10.99137386617312, 5.610439544494763, 2.2239942823563212, 0.9999995745697359]"
48339,"['mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.3979256874489217, 3.366084184052728, 1.6189979886095223, 0.9999995745697359, 0.9999995745697359]"
48381,"['distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share', 't_billing_share']","[1.9950045249592383, 1.4348635949306814, 1.4198443885878098, 0.9999995745697359, 0.9999995745697359]"
48430,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[6.474889937909137, 6.442318376229634, 2.674131632792171, 1.9950045249592383, 0.9999995745697359]"
48431,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[4.843892585121824, 1.9950045249592383, 1.1582726974533704, 0.9999995745697359, 0.9999995745697359]"
48456,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[6.657668333190249, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
48468,"['mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[5.072683325306055, 5.066964302660522, 1.4000180633155017, 0.9999995745697359, 0.9999995745697359]"
48510,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[3.389573187380368, 3.38565852192657, 2.111683485906444, 1.9950045249592383, 0.9999995745697359]"
48525,"['distinct_hcpcs', 'mean_allowed', 'mean_payment', 'distinct_pos', 't_hipaa_share']","[2.4255249210305907, 2.3350492000377536, 2.2995200460681016, 1.9950045249592383, 0.9999995745697359]"
48562,"['mean_charge', 'mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share']","[5.2836914364145935, 4.398117073750536, 4.339920892219869, 1.2590045154550575, 0.9999995745697359]"
48585,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.805151814967292, 8.678943874647517, 4.334588037359449, 0.9999995745697359, 0.9999995745697359]"
